country,year,sex,age,suicides_no,population,suicide_rate
Austria,2000,female,15-24 years,27,469025,5.756622781
Austria,2000,female,25-34 years,34,617481,5.506242297
Austria,2000,female,35-54 years,132,1149412,11.48413276
Austria,2000,female,5-14 years,4,461175,0.867349705
Austria,2000,female,55-74 years,143,840225,17.0192508
Austria,2000,female,75+ years,92,394864,23.29916123
Austria,2000,male,15-24 years,106,485710,21.82372197
Austria,2000,male,25-34 years,149,622975,23.91749268
Austria,2000,male,35-54 years,383,1163122,32.92861798
Austria,2000,male,5-14 years,4,484798,0.825085912
Austria,2000,male,55-74 years,342,730447,46.82064544
Austria,2000,male,75+ years,172,172839,99.51457715
Austria,2001,female,15-24 years,18,470456,3.826075127
Austria,2001,female,25-34 years,41,600540,6.827188863
Austria,2001,female,35-54 years,126,1177652,10.69925581
Austria,2001,female,5-14 years,1,460720,0.217051571
Austria,2001,female,55-74 years,129,835836,15.43364966
Austria,2001,female,75+ years,93,404458,22.99373483
Austria,2001,male,15-24 years,101,488478,20.67646854
Austria,2001,male,25-34 years,142,604064,23.50744292
Austria,2001,male,35-54 years,377,1193029,31.60023771
Austria,2001,male,5-14 years,1,484025,0.206600899
Austria,2001,male,55-74 years,309,735296,42.02389242
Austria,2001,male,75+ years,151,180006,83.88609269
Austria,2002,female,15-24 years,17,475095,3.578231722
Austria,2002,female,25-34 years,30,583877,5.138068463
Austria,2002,female,35-54 years,129,1197653,10.77106641
Austria,2002,female,5-14 years,2,460277,0.434520952
Austria,2002,female,55-74 years,105,841432,12.47872674
Austria,2002,female,75+ years,80,410636,19.4819743
Austria,2002,male,15-24 years,99,494122,20.03553778
Austria,2002,male,25-34 years,158,586771,26.92702945
Austria,2002,male,35-54 years,422,1214866,34.73634129
Austria,2002,male,5-14 years,2,483732,0.413452077
Austria,2002,male,55-74 years,322,747406,43.08234079
Austria,2002,male,75+ years,187,187295,99.84249446
Austria,2003,female,15-24 years,29,482866,6.005806994
Austria,2003,female,25-34 years,32,567665,5.637127531
Austria,2003,female,35-54 years,141,1213566,11.61865115
Austria,2003,female,5-14 years,0,457342,0
Austria,2003,female,55-74 years,102,851030,11.98547642
Austria,2003,female,75+ years,84,412619,20.35776346
Austria,2003,male,15-24 years,91,501938,18.12972917
Austria,2003,male,25-34 years,118,569434,20.7223313
Austria,2003,male,35-54 years,371,1231545,30.12476199
Austria,2003,male,5-14 years,3,480502,0.624347037
Austria,2003,male,55-74 years,308,759680,40.54338669
Austria,2003,male,75+ years,177,193846,91.30959628
Austria,2004,female,15-24 years,22,491309,4.477833705
Austria,2004,female,25-34 years,26,554568,4.688333982
Austria,2004,female,35-54 years,107,1231774,8.686658429
Austria,2004,female,5-14 years,0,453574,0
Austria,2004,female,55-74 years,118,860913,13.70637916
Austria,2004,female,75+ years,73,416777,17.51536193
Austria,2004,male,15-24 years,110,509514,21.58920069
Austria,2004,male,25-34 years,120,555892,21.58692696
Austria,2004,male,35-54 years,347,1248808,27.7864972
Austria,2004,male,5-14 years,2,476337,0.419870806
Austria,2004,male,55-74 years,308,771847,39.90428155
Austria,2004,male,75+ years,189,201792,93.66079924
Austria,2005,female,15-24 years,18,497688,3.616723731
Austria,2005,female,25-34 years,33,546238,6.041322647
Austria,2005,female,35-54 years,121,1250028,9.679783173
Austria,2005,female,5-14 years,1,448529,0.222951024
Austria,2005,female,55-74 years,96,869065,11.04635442
Austria,2005,female,75+ years,81,421281,19.22707172
Austria,2005,male,15-24 years,83,515674,16.09544014
Austria,2005,male,25-34 years,102,548943,18.58116416
Austria,2005,male,35-54 years,364,1266464,28.74144074
Austria,2005,male,5-14 years,3,471447,0.636338761
Austria,2005,male,55-74 years,331,782050,42.32465955
Austria,2005,male,75+ years,166,210054,79.02729774
Austria,2006,female,15-24 years,16,499388,3.2039216
Austria,2006,female,25-34 years,18,542011,3.320965811
Austria,2006,female,35-54 years,91,1265873,7.188714824
Austria,2006,female,5-14 years,0,441264,0
Austria,2006,female,55-74 years,91,876832,10.37827087
Austria,2006,female,75+ years,81,425747,19.02538362
Austria,2006,male,15-24 years,77,517546,14.87790457
Austria,2006,male,25-34 years,103,545467,18.88290217
Austria,2006,male,35-54 years,382,1281251,29.81461088
Austria,2006,male,5-14 years,1,464213,0.215418353
Austria,2006,male,55-74 years,266,791509,33.60669304
Austria,2006,male,75+ years,171,218168,78.37996406
Austria,2007,female,15-24 years,15,499804,3.001176461
Austria,2007,female,25-34 years,25,539763,4.631662415
Austria,2007,female,35-54 years,88,1277479,6.888567248
Austria,2007,female,5-14 years,0,433193,0
Austria,2007,female,55-74 years,109,885212,12.31343452
Austria,2007,female,75+ years,80,428921,18.6514533
Austria,2007,male,15-24 years,93,517817,17.9600129
Austria,2007,male,25-34 years,99,542760,18.24010612
Austria,2007,male,35-54 years,331,1291260,25.63387699
Austria,2007,male,5-14 years,2,455269,0.439300721
Austria,2007,male,55-74 years,273,800509,34.10330177
Austria,2007,male,75+ years,170,225285,75.45997292
Austria,2008,female,15-24 years,18,500763,3.59451477
Austria,2008,female,25-34 years,18,539635,3.335587944
Austria,2008,female,35-54 years,112,1285210,8.714529143
Austria,2008,female,5-14 years,2,425776,0.469730563
Austria,2008,female,55-74 years,82,895882,9.152991131
Austria,2008,female,75+ years,72,430534,16.72341789
Austria,2008,male,15-24 years,59,519137,11.3650154
Austria,2008,male,25-34 years,86,542606,15.84943771
Austria,2008,male,35-54 years,340,1295943,26.23572179
Austria,2008,male,5-14 years,2,447151,0.4472762
Austria,2008,male,55-74 years,276,811538,34.00949801
Austria,2008,male,75+ years,200,231083,86.54898889
Austria,2009,female,15-24 years,11,501225,2.194623173
Austria,2009,female,25-34 years,18,539304,3.337635174
Austria,2009,female,35-54 years,101,1289816,7.830574283
Austria,2009,female,5-14 years,5,418410,1.19500012
Austria,2009,female,55-74 years,103,908213,11.34095196
Austria,2009,female,75+ years,68,430726,15.78729865
Austria,2009,male,15-24 years,72,519901,13.84879044
Austria,2009,male,25-34 years,99,542799,18.23879558
Austria,2009,male,35-54 years,332,1297322,25.59117937
Austria,2009,male,5-14 years,3,439629,0.682393564
Austria,2009,male,55-74 years,279,823727,33.87044494
Austria,2009,male,75+ years,187,235822,79.29709696
Austria,2010,female,15-24 years,14,499638,2.802028669
Austria,2010,female,25-34 years,25,539299,4.635647387
Austria,2010,female,35-54 years,102,1291400,7.898404832
Austria,2010,female,5-14 years,1,412838,0.242225764
Austria,2010,female,55-74 years,90,923411,9.746472589
Austria,2010,female,75+ years,62,431151,14.38011277
Austria,2010,male,15-24 years,91,518657,17.54531415
Austria,2010,male,25-34 years,85,542986,15.65417893
Austria,2010,male,35-54 years,325,1296607,25.06542075
Austria,2010,male,5-14 years,2,433795,0.461047269
Austria,2010,male,55-74 years,287,838208,34.23971138
Austria,2010,male,75+ years,180,240431,74.86555394
Austria,2011,female,15-24 years,23,498172,4.616879311
Austria,2011,female,25-34 years,23,542031,4.243299737
Austria,2011,female,35-54 years,95,1288452,7.373188912
Austria,2011,female,5-14 years,1,407570,0.245356626
Austria,2011,female,55-74 years,113,942311,11.99179464
Austria,2011,female,75+ years,58,431128,13.45308122
Austria,2011,male,15-24 years,67,518095,12.93199124
Austria,2011,male,25-34 years,97,546027,17.76468929
Austria,2011,male,35-54 years,336,1292255,26.00106016
Austria,2011,male,5-14 years,3,428198,0.700610465
Austria,2011,male,55-74 years,276,855700,32.25429473
Austria,2011,male,75+ years,196,245207,79.93246522
Austria,2012,female,15-24 years,6,497838,1.205211334
Austria,2012,female,25-34 years,20,547787,3.651054151
Austria,2012,female,35-54 years,87,1283769,6.776920147
Austria,2012,female,5-14 years,1,402730,0.248305316
Austria,2012,female,55-74 years,99,962372,10.28708233
Austria,2012,female,75+ years,76,430436,17.65651572
Austria,2012,male,15-24 years,66,519503,12.70445021
Austria,2012,male,25-34 years,99,553047,17.90082941
Austria,2012,male,35-54 years,332,1286522,25.80601031
Austria,2012,male,5-14 years,3,422849,0.709473122
Austria,2012,male,55-74 years,298,874391,34.08086314
Austria,2012,male,75+ years,189,250032,75.59032444
Austria,2013,female,15-24 years,20,496526,4.02798645
Austria,2013,female,25-34 years,25,556475,4.492564805
Austria,2013,female,35-54 years,94,1279480,7.346734611
Austria,2013,female,5-14 years,3,400256,0.749520307
Austria,2013,female,55-74 years,118,981829,12.01838609
Austria,2013,female,75+ years,64,431074,14.84663886
Austria,2013,male,15-24 years,54,518852,10.40759215
Austria,2013,male,25-34 years,75,563630,13.30660185
Austria,2013,male,35-54 years,317,1282009,24.72681549
Austria,2013,male,5-14 years,1,420342,0.237901518
Austria,2013,male,55-74 years,299,893602,33.46008626
Austria,2013,male,75+ years,221,255540,86.48352508
Austria,2014,female,15-24 years,17,493605,3.444049392
Austria,2014,female,25-34 years,29,566622,5.118050482
Austria,2014,female,35-54 years,93,1276047,7.288132804
Austria,2014,female,5-14 years,0,399408,0
Austria,2014,female,55-74 years,108,993973,10.86548629
Austria,2014,female,75+ years,77,442472,17.4022311
Austria,2014,male,15-24 years,79,516580,15.29288784
Austria,2014,male,25-34 years,100,576126,17.3573142
Austria,2014,male,35-54 years,321,1280204,25.07412881
Austria,2014,male,5-14 years,2,419646,0.476592175
Austria,2014,male,55-74 years,282,906857,31.09641322
Austria,2014,male,75+ years,206,269625,76.40241076
Austria,2015,female,15-24 years,19,490742,3.871688178
Austria,2015,female,25-34 years,21,576661,3.641654282
Austria,2015,female,35-54 years,79,1273034,6.205647296
Austria,2015,female,5-14 years,1,400831,0.249481702
Austria,2015,female,55-74 years,100,998854,10.01147315
Austria,2015,female,75+ years,70,461676,15.16214835
Austria,2015,male,15-24 years,61,519646,11.73876062
Austria,2015,male,25-34 years,78,590968,13.19868419
Austria,2015,male,35-54 years,313,1279822,24.45652599
Austria,2015,male,5-14 years,1,421708,0.237130906
Austria,2015,male,55-74 years,294,915115,32.12710971
Austria,2015,male,75+ years,214,290329,73.70948131
Austria,2016,female,15-24 years,22,488020,4.508011967
Austria,2016,female,25-34 years,18,585913,3.072128456
Austria,2016,female,35-54 years,95,1273241,7.461274024
Austria,2016,female,5-14 years,2,406212,0.492353746
Austria,2016,female,55-74 years,99,1009403,9.807777468
Austria,2016,female,75+ years,61,478267,12.75438197
Austria,2016,male,15-24 years,58,525977,11.02709814
Austria,2016,male,25-34 years,86,605922,14.193246
Austria,2016,male,35-54 years,260,1281202,20.29344319
Austria,2016,male,5-14 years,1,428370,0.233443052
Austria,2016,male,55-74 years,290,928992,31.2166305
Austria,2016,male,75+ years,212,307692,68.9000689
Croatia,2000,female,15-24 years,9,291900,3.083247688
Croatia,2000,female,25-34 years,12,329100,3.646308113
Croatia,2000,female,35-54 years,64,579800,11.03828907
Croatia,2000,female,5-14 years,0,295200,0
Croatia,2000,female,55-74 years,99,506700,19.53818828
Croatia,2000,female,75+ years,50,144600,34.57814661
Croatia,2000,male,15-24 years,57,302700,18.83052527
Croatia,2000,male,25-34 years,77,332900,23.13006909
Croatia,2000,male,35-54 years,249,572300,43.50864931
